@relation chwilowki

@attribute status_pozyczki {splacona_cz,splacona,odmowa,windykacja,windykacja_sp} 
@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {1,0,2,3,4,5,6} 
@attribute kwota_kredytu real
@attribute wiek numeric
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric

@data
splacona_cz,13,1400,1,400,59,k,242,48,0
splacona,13,2612,0,500,72,m,78,48,0
splacona_cz,13,930,0,400,59,k,28,48,1
splacona_cz,12,1100,1,300,65,m,18,36,2
splacona_cz,11,1900,1,694,38,k,204,48,1
splacona_cz,13,815,0,300,67,k,140,48,4
splacona_cz,13,1500,1,500,61,m,19,48,0
odmowa,12,1300,0,300,29,m,0,3,0
splacona_cz,11,2100,1,300,33,m,60,48,1
splacona,17,1100,0,200,56,k,23,33,0
splacona_cz,11,1493.98,0,200,47,k,357,48,0
splacona_cz,11,1400,0,421.62,33,k,97,48,1
splacona_cz,13,1272,0,500,62,m,12,48,5
splacona,11,1638,1,1239.88,52,k,310,48,14
splacona_cz,11,2500,0,600,49,k,229,48,0
splacona,13,840,1,200,64,k,109,48,0
splacona_cz,12,950,0,200,37,m,3,15,0
windykacja,11,2825,0,500,39,k,93,48,298
splacona_cz,13,2066,1,700,61,k,125,48,1
splacona_cz,13,1094,0,300,67,k,180,48,6
splacona_cz,11,1400,1,600,58,k,159,48,13
splacona_cz,13,1185.33,1,200,71,k,220,48,3
splacona_cz,13,1658,1,300,59,k,25,48,0
splacona_cz,13,1900,1,500,62,k,84,48,0
odmowa,13,770,0,200,74,m,108,48,0
splacona_cz,12,1952.35,0,200,44,m,0,11,0
splacona_cz,12,1030,1,200,54,m,5,24,7
splacona_cz,11,2065.98,1,300,52,k,175,48,5
splacona,12,1884.29,0,300,39,m,16,23,14
splacona_cz,11,3200,1,600,51,k,50,48,0
splacona_cz,11,2031,0,1000,56,m,110,48,0
splacona,11,3000,0,400,26,m,37,48,11
splacona_cz,12,670,1,300,45,m,5,11,2
windykacja,13,1721,1,350,71,k,193,48,1008
windykacja,13,1029.7,0,200,60,k,5,48,1008
splacona_cz,98,1200,1,285.97,38,k,42,48,2
splacona_cz,11,1770,1,280.11,39,k,83,48,2
splacona,99,2500,0,400,55,m,1,3,83
splacona_cz,11,1250,1,500,61,m,61,48,0
splacona_cz,16,749.28,1,200,53,k,61,48,0
splacona_cz,16,980,1,400,68,k,127,48,0
odmowa,13,1100,0,300,70,m,62,48,0
odmowa,11,10000,0,1000,25,m,5,48,0
splacona,13,1977,0,400,61,k,51,48,0
splacona_cz,13,975,1,277.4,61,k,23,48,0
splacona_cz,11,3335,1,600,56,m,429,48,0
splacona_cz,98,980,0,300,56,k,7,48,0
odmowa,13,1742.76,0,200,63,m,38,48,0
splacona_cz,13,860,1,789.27,63,k,77,48,2
odmowa,16,1700,0,500,48,m,242,48,0
splacona,16,1401,0,300,69,k,72,48,15
splacona_cz,99,1100,0,200,53,k,49,48,0
splacona,11,1500,1,377.92,27,k,21,48,17
splacona_cz,11,3100,1,500,32,k,118,48,0
splacona_cz,11,2700,1,400,37,k,118,48,0
windykacja,13,750,0,200,61,k,62,48,1006
splacona_cz,13,784,0,200,60,k,36,48,0
splacona_cz,13,2110,1,300,66,m,98,48,0
splacona_cz,99,685,1,250,62,m,2,2,1
splacona_cz,13,1300,0,300,66,m,75,48,7
splacona_cz,13,1026,1,200,74,k,244,48,0
splacona,13,907,0,200,60,m,5,48,165
splacona_cz,12,1032.34,1,200,31,k,2,11,0
splacona_cz,11,2353,1,1569.98,48,m,96,48,8
odmowa,16,540,0,200,40,k,180,48,0
splacona,13,3251,0,600,63,k,135,48,0
splacona_cz,13,1525.46,1,521.49,62,k,33,48,4
windykacja_sp,11,1136.8,1,200,26,m,6,48,191
splacona_cz,13,3700,1,800,62,k,24,48,0
splacona_cz,13,1538,1,200,63,m,98,48,0
splacona_cz,13,957.2,0,200,74,m,194,48,0
splacona,11,1459,1,300,26,m,6,48,9
splacona_cz,11,3000,1,500,45,k,90,48,4
splacona,13,2100,1,300,72,k,157,48,0
splacona_cz,11,1400,1,200,54,k,114,48,1
splacona_cz,13,2120,1,600,68,k,116,48,3
splacona_cz,12,1027,1,300,39,k,6,48,0
splacona_cz,13,1801.41,1,700,58,k,35,48,0
windykacja,12,1017,1,300,36,m,54,48,1004
splacona_cz,12,1030,1,200,51,m,6,48,3
splacona_cz,13,1193.65,0,400,63,m,6,48,0
splacona,12,2000,2,200,50,k,32,48,0
splacona,11,2000,0,800,46,m,48,48,0
splacona_cz,13,803.86,1,200,68,k,155,48,0
splacona_cz,13,1412,1,400,73,k,201,48,0
splacona_cz,98,5000,0,600,41,k,81,48,2
splacona_cz,11,1000,1,275.97,41,k,58,48,5
splacona_cz,16,1045,0,200,50,m,196,48,1
splacona,17,1896,1,500,22,m,31,33,0
splacona_cz,11,1200,1,300,38,k,187,48,2
splacona,12,1500,0,900,35,m,30,35,0
splacona,13,1425,1,200,60,k,76,48,1
splacona_cz,16,2300,1,200,55,k,60,48,0
splacona_cz,11,2800,1,400,54,k,57,48,0
splacona_cz,12,1600,1,498.47,31,k,11,11,5
windykacja_sp,13,1674.77,0,200,67,m,66,48,214
odmowa,13,995,0,300,52,m,168,48,0
splacona,11,2011,0,500,52,m,208,48,42
splacona_cz,12,1574.45,0,450,47,m,28,35,5
odmowa,16,634.64,0,200,51,k,19,48,0
splacona_cz,11,1261.98,1,400,40,m,33,48,6
splacona_cz,13,1149.06,0,400,60,k,158,48,0
splacona_cz,16,1313.41,1,400,62,m,25,48,1
splacona,13,1200.29,1,200,62,k,19,48,0
splacona_cz,11,1300,1,326.61,39,m,42,48,0
splacona,13,985.9,0,200,62,k,87,48,0
splacona_cz,12,660,1,400,40,k,9,38,2
odmowa,17,540.62,0,300,18,m,3,20,0
splacona_cz,16,755.1,0,200,64,k,131,48,0
odmowa,13,1079.14,0,300,68,m,115,48,0
splacona_cz,13,1591,1,381.29,66,m,73,48,0
splacona_cz,13,1162,1,200,62,m,218,48,0
windykacja_sp,11,1600,1,400,52,m,265,48,425
splacona_cz,12,700,1,250,40,m,6,23,0
windykacja,11,1250,1,400,61,m,103,48,1002
splacona_cz,11,2249.14,1,500,57,k,238,48,7
odmowa,13,1517,0,400,78,k,132,48,0
splacona_cz,13,1013.74,1,400,65,k,110,48,0
splacona_cz,11,1500,0,400,58,k,82,48,0
splacona_cz,12,1675,1,600,54,k,6,11,3
splacona_cz,13,5100,1,700,61,k,25,48,0
odmowa,11,3500,0,1000,41,k,238,48,0
splacona_cz,11,1617.68,0,200,52,k,82,48,2
splacona_cz,16,2300,2,1000,55,k,60,48,0
odmowa,13,601.03,0,300,46,k,302,48,0
splacona_cz,13,1233,0,400,63,k,120,48,0
odmowa,13,940.49,0,400,68,m,258,48,0
splacona_cz,13,1768.93,1,500,63,m,266,48,4
splacona_cz,11,3170,1,400,47,k,282,48,4
windykacja,11,1037.34,0,300,24,m,31,48,1001
splacona,11,1239.05,1,400,39,k,201,48,10
splacona_cz,12,2000,1,396.61,53,k,6,26,3
windykacja,13,814.83,1,300,49,m,154,48,1001
odmowa,13,832.92,0,200,67,k,136,48,0
splacona_cz,13,951,1,500,73,k,159,48,0
splacona_cz,12,1350,1,281.29,55,k,19,24,0
windykacja,11,1065,1,650,35,k,56,48,1001
odmowa,11,2600,0,650,64,m,132,48,0
splacona_cz,11,1800,1,600,48,m,123,48,6
odmowa,11,1037,0,200,22,m,33,48,0
splacona_cz,16,633.56,1,250,64,m,108,48,1
windykacja,12,1037,0,200,36,k,1,3,999
splacona_cz,13,910.33,1,200,73,m,160,48,1
splacona_cz,13,856,1,200,64,k,54,48,0
splacona,12,1500,1,371.94,53,k,6,7,1
windykacja,11,1300,1,700,27,k,7,48,999
odmowa,11,1554.24,0,500,45,m,150,48,0
windykacja_sp,12,1800,1,800,29,m,5,10,262
odmowa,13,713.78,0,200,62,k,26,48,0
splacona_cz,13,965,1,200,75,k,242,48,1
splacona,11,2600,0,400,64,m,132,48,0
splacona_cz,13,1239,1,300,77,k,267,48,2
splacona_cz,16,1389,0,300,63,k,88,48,0
splacona_cz,13,984,0,200,61,k,8,48,0
splacona_cz,12,830.46,0,600,47,k,42,48,1
splacona_cz,16,1340,1,500,63,k,158,48,3
splacona,13,640,1,500,72,k,136,48,1
splacona_cz,13,616,1,200,75,k,243,48,0
splacona_cz,12,1009.34,0,300,55,k,26,48,0
splacona_cz,16,703,1,200,57,k,23,48,1
odmowa,11,1200,0,500,54,k,25,48,0
splacona_cz,13,1426,1,300,71,m,74,48,0
splacona,12,1300,1,417.53,25,m,6,26,409
splacona_cz,11,2700,0,300,39,m,6,48,0
splacona_cz,11,1700,1,300,54,m,36,48,1
splacona_cz,13,1500,1,300,58,k,43,48,1
splacona_cz,17,684,1,900,58,k,187,48,1
splacona,11,2505,1,202.73,40,k,161,48,1
splacona,98,3000,1,1500,57,m,66,48,9
splacona,11,1300,1,600,54,k,65,48,11
splacona_cz,12,1000,2,200,24,m,9,25,0
splacona_cz,13,1000,1,500,60,k,65,48,1
splacona_cz,11,1000,1,800,60,m,60,48,0
splacona_cz,13,2421.55,1,1000,80,k,242,48,0
splacona_cz,11,1172.2,1,400,56,k,34,48,1
splacona_cz,11,1290,1,600,32,k,16,48,1
splacona,11,2200,0,900,33,k,34,48,0
odmowa,16,921.58,0,200,57,k,18,48,0
splacona_cz,13,997,1,300,61,k,76,48,1
odmowa,16,1279.58,0,400,64,k,158,48,0
splacona,13,962,1,500,62,k,62,48,15
splacona_cz,13,810,2,300,60,k,30,48,8
splacona_cz,12,600,2,400,47,m,6,27,0
splacona_cz,11,1680,1,300,57,k,382,48,1
splacona,12,611.36,1,400,61,m,0,3,280
splacona_cz,13,1189,1,265.58,62,k,67,48,1
splacona_cz,13,1212,1,500,60,k,51,48,1
splacona_cz,13,1137.19,1,400,66,k,93,48,0
splacona,13,744.07,0,300,61,k,10,48,1
splacona_cz,11,2100,0,300,45,m,47,48,0
splacona_cz,13,1130,1,300,62,k,100,48,0
splacona_cz,11,1510,1,900,58,m,163,48,1
splacona_cz,13,802.83,1,200,65,k,198,48,0
splacona_cz,16,655,1,500,53,k,28,48,0
splacona_cz,13,1684,1,300,61,k,17,48,0
splacona_cz,13,3600,0,1000,57,m,83,48,0
splacona_cz,13,1428.55,1,235.97,66,k,134,48,0
splacona_cz,12,990.34,0,200,46,k,53,48,0
splacona_cz,11,5800,1,1000,47,k,51,48,0
splacona_cz,13,1601.87,0,350,64,m,42,48,0
splacona_cz,11,1400,1,200,49,m,11,48,0
splacona,12,1210,0,200,52,m,4,9,20
splacona_cz,13,940,1,300,69,m,50,48,2
splacona_cz,17,1031,0,350,53,k,48,48,0
splacona_cz,13,2612,0,1800,72,m,79,48,5
splacona_cz,11,1800,1,300,33,m,162,48,0
splacona_cz,16,634,0,200,58,k,48,48,0
splacona_cz,13,1474.55,0,400,62,k,62,48,0
splacona_cz,99,1393.85,0,200,29,m,2,2,1
splacona_cz,13,1100,0,300,59,k,40,48,0
splacona_cz,13,930,2,300,65,k,128,48,0
splacona,13,1100,1,300,63,k,102,48,20
splacona_cz,11,2800,1,600,49,k,316,48,0
splacona_cz,11,2500,1,769.94,47,m,201,48,8
splacona_cz,13,1700,1,500,72,m,11,48,2
splacona,12,988,1,200,54,m,6,12,12
splacona,13,1062,0,400,66,k,159,48,15
splacona_cz,13,1503,1,400,61,m,163,48,13
splacona,11,1300,1,400,53,k,31,48,11
splacona_cz,12,1200,1,300,35,k,6,14,1
splacona_cz,13,2098,1,700,75,m,194,48,2
splacona,13,2291,2,1000,69,k,68,48,14
splacona_cz,16,837,0,300,61,m,228,48,0
odmowa,12,1040,0,250,34,k,0,0,0
splacona_cz,13,730,0,200,72,k,558,48,0
windykacja,12,1100,0,300,43,k,12,29,995
splacona_cz,11,1700,1,500,51,k,303,48,4
windykacja_sp,11,2031,1,2000,56,m,111,48,222
splacona_cz,13,1442.43,2,200,79,k,138,48,0
splacona_cz,11,1360,2,200,46,m,117,48,0
splacona_cz,12,1050,0,300,52,k,31,36,0
splacona_cz,16,892,0,500,65,k,198,48,0
splacona,12,1500,1,1130.33,48,k,11,26,32
splacona_cz,13,850,1,400,66,k,64,48,5
splacona_cz,12,2500,0,800,57,m,2,3,4
splacona_cz,13,1350,0,300,65,k,108,48,0
splacona_cz,11,1900,1,903.23,36,k,176,48,6
splacona_cz,11,3200,1,700,52,m,186,48,0
splacona_cz,11,2100,0,700,27,k,20,48,0
splacona_cz,17,547.89,0,200,56,k,53,48,0
odmowa,17,443.65,0,600,22,m,10,35,0
odmowa,11,3000,0,700,45,m,1,48,0
splacona,16,1411,1,400,60,k,63,48,17
splacona_cz,12,1800,1,700,28,m,8,8,0
splacona_cz,13,1210,0,300,65,k,135,48,6
splacona_cz,12,1447,2,500,29,k,19,24,5
odmowa,11,1515.11,0,300,32,k,11,48,0
splacona_cz,12,1037.34,0,300,30,m,17,24,0
splacona_cz,13,785,1,200,72,k,61,48,0
splacona,99,980,2,449.7,23,m,9,10,384
splacona_cz,11,1320,1,500,53,m,339,48,3
splacona_cz,16,959.6,1,200,69,k,112,48,0
splacona_cz,11,1700,1,600,47,k,86,48,0
splacona_cz,13,3900,2,300,49,m,27,48,3
splacona,13,720.19,0,200,67,k,90,48,0
splacona_cz,99,750,1,300,19,m,1,5,0
windykacja_sp,13,1425,1,500,56,k,17,48,465
splacona_cz,11,1077.49,1,300,48,k,369,48,3
windykacja,99,2800,2,200,38,k,7,7,994
splacona_cz,11,4000,2,600,53,m,7,48,0
splacona_cz,13,2010,0,700,64,m,135,48,0
splacona_cz,11,2258,2,1000,42,m,72,48,3
splacona_cz,17,985,2,200,20,m,10,11,0
splacona_cz,13,1668,2,392.14,63,k,88,48,9
windykacja_sp,11,1050,1,441.91,52,k,15,48,422
splacona_cz,13,1672.59,0,200,62,m,19,48,0
splacona_cz,13,12220,0,200,57,m,68,48,0
splacona_cz,16,588,2,600,55,m,419,48,2
splacona_cz,13,611,0,300,57,k,136,48,0
splacona,13,1065,1,230,62,k,19,48,274
splacona,13,1261.6,1,400,64,m,50,48,0
odmowa,11,1200,0,1000,41,m,24,48,0
splacona_cz,13,1454.91,1,400,58,k,39,48,6
splacona_cz,12,1634,0,300,22,k,9,9,3
odmowa,13,1900,0,1000,76,k,252,48,0
splacona_cz,11,2700,2,500,31,m,12,48,3
splacona_cz,11,1680,2,799.84,57,k,67,48,1
splacona_cz,12,1400,0,300,25,m,9,32,0
odmowa,12,1037,0,200,31,k,8,13,0
splacona_cz,13,1072,2,432.44,69,k,150,48,1
splacona_cz,16,763.38,1,200,57,m,208,48,1
splacona_cz,16,1045.6,2,500,54,k,9,48,0
splacona_cz,11,1888.27,1,400,29,m,74,48,4
splacona_cz,11,2927,0,500,38,k,198,48,0
splacona_cz,11,1842.86,0,400,56,m,5,48,0
splacona,13,3100,0,600,64,m,135,48,11
splacona_cz,13,1688.82,0,300,46,m,96,48,0
splacona_cz,13,1240,2,300,58,k,67,48,0
splacona,12,900,2,400,28,m,15,20,8
splacona_cz,11,1400,2,300,43,k,22,48,0
splacona_cz,13,1026,2,200,74,k,244,48,0
splacona_cz,11,1700,2,281.29,53,k,202,48,1
splacona_cz,11,3000,2,300,60,m,209,48,1
splacona_cz,11,763,1,300,46,k,90,48,0
splacona,99,645.31,0,400,43,k,8,12,1
splacona_cz,13,729.03,2,300,70,k,254,48,0
splacona_cz,13,1090.14,1,400,61,k,72,48,0
splacona,11,2458,0,600,61,m,144,48,0
splacona_cz,13,714,2,200,62,k,219,48,0
splacona_cz,16,1389,1,200,63,k,88,48,0
splacona_cz,13,1291.18,2,381.29,70,k,76,48,0
splacona_cz,12,1952.35,1,400,44,m,1,11,0
odmowa,17,607.95,0,300,58,m,210,48,0
splacona_cz,13,1370,1,900,59,k,73,48,0
windykacja_sp,13,665.92,2,300,65,k,122,48,300
odmowa,11,1226,0,300,26,m,2,48,0
splacona_cz,13,1170,0,400,61,k,75,48,0
splacona,11,1187.06,1,400,56,k,130,48,2
splacona_cz,17,990,2,400,50,k,69,48,0
splacona_cz,11,2080,2,500,53,m,315,48,0
splacona_cz,12,1700,2,400,54,k,52,48,0
splacona,11,1373.34,0,200,30,k,55,48,0
splacona_cz,17,1200,2,200,25,k,162,48,0
splacona_cz,11,2400,1,600,35,k,110,48,0
splacona_cz,17,1485,1,500,58,m,140,48,0
splacona_cz,12,1136.86,0,200,28,m,9,24,1
splacona_cz,13,1362,2,500,61,k,53,48,6
windykacja,11,3250,1,500,49,m,2,48,989
splacona_cz,16,1600,0,500,67,m,9,48,0
odmowa,16,730,0,300,54,m,113,48,0
splacona_cz,11,2470,2,426.61,49,k,351,48,0
windykacja,12,1040,2,400,52,k,15,19,989
splacona_cz,13,1015,2,400,64,k,106,48,4
odmowa,11,1557.5,0,700,35,k,182,48,0
splacona_cz,13,1017,2,200,68,k,158,48,0
splacona,17,547.89,1,350,56,k,53,48,13
splacona_cz,11,1800,1,600,39,k,49,48,11
splacona_cz,11,2050,0,800,33,k,26,48,5
splacona_cz,13,910,2,200,66,k,67,48,1
splacona,11,2284.23,0,200,43,m,297,48,0
splacona,11,1577.42,2,400,50,k,202,48,11
windykacja,12,855,2,600,31,k,41,48,989
splacona,12,1540,1,600,33,k,36,39,5
splacona_cz,11,2050,2,575.74,32,m,115,48,1
splacona_cz,11,2368.57,0,400,54,k,407,48,0
odmowa,17,540.62,0,300,20,k,28,48,0
odmowa,13,1875.17,0,1000,63,k,96,48,0
splacona_cz,11,4900,0,500,50,k,8,48,0
splacona_cz,13,1457,1,300,73,m,76,48,3
splacona_cz,13,1216,2,200,66,k,138,48,0
splacona_cz,13,1280,2,400,61,k,14,48,0
odmowa,99,490.99,0,400,41,k,3,8,0
splacona_cz,11,1800,2,500,49,k,50,48,3
