@relation 'chwilowki-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie {1,0,2,3,4,5,6}
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute status_pozyczki {dobra,zla}

@data
13,1400,1,400,'\'(55.2-67.6]\'',k,242,48,dobra
13,2612,0,500,'\'(67.6-inf)\'',m,78,48,dobra
13,930,0,400,'\'(55.2-67.6]\'',k,28,48,dobra
12,1100,1,300,'\'(55.2-67.6]\'',m,18,36,dobra
11,1900,1,694,'\'(30.4-42.8]\'',k,204,48,dobra
13,815,0,300,'\'(55.2-67.6]\'',k,140,48,dobra
13,1500,1,500,'\'(55.2-67.6]\'',m,19,48,dobra
12,1300,0,300,'\'(-inf-30.4]\'',m,0,3,zla
11,2100,1,300,'\'(30.4-42.8]\'',m,60,48,dobra
17,1100,0,200,'\'(55.2-67.6]\'',k,23,33,dobra
11,1493.98,0,200,'\'(42.8-55.2]\'',k,357,48,dobra
11,1400,0,421.62,'\'(30.4-42.8]\'',k,97,48,dobra
13,1272,0,500,'\'(55.2-67.6]\'',m,12,48,dobra
11,1638,1,1239.88,'\'(42.8-55.2]\'',k,310,48,dobra
11,2500,0,600,'\'(42.8-55.2]\'',k,229,48,dobra
13,840,1,200,'\'(55.2-67.6]\'',k,109,48,dobra
12,950,0,200,'\'(30.4-42.8]\'',m,3,15,dobra
11,2825,0,500,'\'(30.4-42.8]\'',k,93,48,zla
13,2066,1,700,'\'(55.2-67.6]\'',k,125,48,dobra
13,1094,0,300,'\'(55.2-67.6]\'',k,180,48,dobra
11,1400,1,600,'\'(55.2-67.6]\'',k,159,48,dobra
13,1185.33,1,200,'\'(67.6-inf)\'',k,220,48,dobra
13,1658,1,300,'\'(55.2-67.6]\'',k,25,48,dobra
13,1900,1,500,'\'(55.2-67.6]\'',k,84,48,dobra
13,770,0,200,'\'(67.6-inf)\'',m,108,48,zla
12,1952.35,0,200,'\'(42.8-55.2]\'',m,0,11,dobra
12,1030,1,200,'\'(42.8-55.2]\'',m,5,24,dobra
11,2065.98,1,300,'\'(42.8-55.2]\'',k,175,48,dobra
12,1884.29,0,300,'\'(30.4-42.8]\'',m,16,23,dobra
11,3200,1,600,'\'(42.8-55.2]\'',k,50,48,dobra
11,2031,0,1000,'\'(55.2-67.6]\'',m,110,48,dobra
11,3000,0,400,'\'(-inf-30.4]\'',m,37,48,dobra
12,670,1,300,'\'(42.8-55.2]\'',m,5,11,dobra
13,1721,1,350,'\'(67.6-inf)\'',k,193,48,zla
13,1029.7,0,200,'\'(55.2-67.6]\'',k,5,48,zla
98,1200,1,285.97,'\'(30.4-42.8]\'',k,42,48,dobra
11,1770,1,280.11,'\'(30.4-42.8]\'',k,83,48,dobra
99,2500,0,400,'\'(42.8-55.2]\'',m,1,3,dobra
11,1250,1,500,'\'(55.2-67.6]\'',m,61,48,dobra
