@relation chwilowki-weka.filters.unsupervised.instance.RemoveWithValues-S900.0-C5-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L3-H-weka.filters.unsupervised.attribute.Remove-R1

@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie {1,0,2,3,4,5,6}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric

@data
11,1638,1,1239.88,52,k,310,48,14
11,2031,0,1000,56,m,110,48,0
11,2353,1,1569.98,48,m,96,48,8
12,1500,0,900,35,m,30,35,0
16,2300,2,1000,55,k,60,48,0
17,684,1,900,58,k,187,48,1
98,3000,1,1500,57,m,66,48,9
13,2421.55,1,1000,80,k,242,48,0
11,2200,0,900,33,k,34,48,0
11,1510,1,900,58,m,163,48,1
13,3600,0,1000,57,m,83,48,0
11,5800,1,1000,47,k,51,48,0
13,2612,0,1800,72,m,79,48,5
13,2291,2,1000,69,k,68,48,14
11,2031,1,2000,56,m,111,48,222
12,1500,1,1130.33,48,k,11,26,32
11,1900,1,903.23,36,k,176,48,6
11,2258,2,1000,42,m,72,48,3
13,1370,1,900,59,k,73,48,0
11,2670,2,1000,60,k,85,48,6
13,1820,2,1000,61,k,66,48,0
13,2100,2,1000,73,k,52,48,23
11,2875.71,2,1100,42,m,276,48,6
11,2200,0,900,33,k,35,48,0
16,2300,3,900,55,k,61,48,0
17,684,2,900,58,k,188,48,1
11,2353,2,1569.98,48,m,97,48,8
13,2421.55,2,1000,80,k,243,48,13
13,3600,1,1000,57,m,84,48,1
11,5800,2,900,47,k,52,48,0
11,1510,2,900,58,m,164,48,151
11,1638,0,1283.66,52,k,312,48,17
13,2612,1,1800,72,m,80,48,0
11,2258,3,1000,42,m,73,48,0
13,1370,2,900,59,k,74,48,11
98,3000,0,1500,57,m,67,48,6
11,1900,2,903.23,36,k,177,48,3
11,2500,2,900,47,m,202,48,11
13,1820,3,900,61,k,67,48,1
13,2291,0,1000,69,k,69,48,9
11,2670,3,1000,60,k,86,48,11
11,2875.71,3,1100,42,m,277,48,6
17,684,3,900,58,k,189,48,0
11,5800,3,1000,47,k,53,48,0
13,3600,2,1000,57,m,85,48,1
12,1500,0,1130.33,48,k,13,26,933
13,2100,3,1000,73,k,54,48,3
13,2612,2,2500,72,m,81,48,30
11,2258,4,1000,42,m,74,48,3
11,2353,3,1569.98,48,m,98,48,29
11,1900,3,903.23,36,k,178,48,9
98,3000,1,1500,57,m,68,48,25
13,2421.55,0,1070,80,k,244,48,0
11,1638,0,1283.66,52,k,313,48,175
13,2291,1,1000,69,k,71,48,0
11,2200,0,900,33,k,37,48,0
98,6000,0,1000,41,k,17,48,0
11,2670,4,1000,60,k,88,48,29
17,684,4,900,58,k,190,48,0
11,5800,4,1000,47,k,54,48,1
13,3600,3,1000,57,m,86,48,0
13,2421.55,1,1070,80,k,245,48,0
11,2875.71,4,1075.62,42,m,278,48,903
13,2100,4,1000,73,k,55,48,20
11,2258,5,1000,42,m,75,48,4
13,1820,0,1000,61,k,69,48,0
11,2200,0,1000,33,k,37,48,0
13,2291,2,1000,69,k,72,48,28
98,6000,1,1000,41,k,18,48,0
11,2500,1,996,47,m,205,48,1
13,2474,0,1000,62,m,16,48,2
11,2200,1,1000,33,k,38,48,0
17,684,5,900,58,k,191,48,0
11,5800,5,1000,47,k,55,48,2
13,2612,0,2500,72,m,83,48,0
11,2353,0,1654.61,48,m,100,48,15
98,3000,2,1500,57,m,70,48,17
13,1820,1,1000,61,k,70,48,0
11,1900,0,1000,36,k,180,48,3
